Category,Function / Property,Description,Example Usage,Result
Creation,np.array(),Create array from list,"np.array([1, 2, 3])",[1 2 3]
Creation,np.zeros(),Create zeros array,"np.zeros((2, 3))","[[0. 0. 0.]
 [0. 0. 0.]]"
Creation,np.ones(),Create ones array,"np.ones((3, 1))","[[1.]
 [1.]
 [1.]]"
Creation,np.empty(),Uninitialized array,"np.empty((2, 2))",Random uninitialized values
Attributes,.shape,Dimensions of array,a.shape,"(2, 3) if a is a 2x3 array"
Attributes,.ndim,Number of dimensions,a.ndim,2 for a 2D array
Attributes,.dtype,Data type,a.dtype,dtype('int32') or similar
Attributes,.itemsize,Bytes per element,a.itemsize,"4 (bytes for int32), 8 for float64"
Attributes,.nbytes,Total memory used,a.nbytes,"Total bytes used (e.g., 24 for 2x3 float64)"
Attributes,.size,Total number of elements,a.size,6 for a 2x3 array
Reshape/Transform,.reshape(),Change shape of array,"a.reshape(3, 2)",Reshaped array with same elements
Reshape/Transform,.flatten(),Flatten to 1D,a.flatten(),[1 2 3 4 5 6]
Reshape/Transform,.transpose() / .T,Transpose array,a.transpose() or a.T,Swaps rows and columns
Math Ops,.sum(),Sum of elements,a.sum(),"e.g., 21 for sum of elements"
Math Ops,.mean(),Average of elements,a.mean(),"e.g., 3.5 for average"
Math Ops,.max(),Max value,a.max(),"e.g., 9 for max value"
Math Ops,.dot(),Dot product,a.dot(b),Dot product of two arrays
Conversion,.astype(),Change data type,a.astype(float),Casts all elements to float
Conversion,.tolist(),Convert to Python list,a.tolist(),"[1, 2, 3]"
Utilities,.copy(),Deep copy,a.copy(),New array with same data
Utilities,.view(),Create a view (no copy),a.view(),New view sharing memory
Utilities,.setflags(),Control write permissions,a.setflags(write=False),Locks the array (read-only)
Indexing,"[i, j]",Element access,"a[0, 1]","Access element at row 0, col 1"
Indexing,[start:stop],Slice of array,a[1:3],Gets subset of array
Indexing,[bool_array],Conditional indexing,a[a > 5],Filters elements > 5
